,time,close,high,low,open,volumefrom,volumeto,conversionType,conversionSymbol,date
1677,1624233600,31655.2,35750.8,31260.0,35595.0,11395.96,373433765.1,force_direct,,2021-06-21
1678,1624320000,32516.2,33290.0,28816.6,31655.2,16188.93,504378118.07,force_direct,,2021-06-22
1679,1624406400,33683.3,34879.4,32402.3,32516.2,6290.89,212095153.82,force_direct,,2021-06-23
1680,1624492800,34666.6,35311.2,32333.0,33683.3,4823.61,163334017.14,force_direct,,2021-06-24
1681,1624579200,31583.7,35509.1,31278.3,34666.6,6444.51,213017195.69,force_direct,,2021-06-25
1682,1624665600,32277.0,32691.1,30179.0,31583.7,5160.37,161762365.4,force_direct,,2021-06-26
1683,1624752000,34675.3,34700.0,32025.0,32277.0,4214.11,139926738.52,force_direct,,2021-06-27
1684,1624838400,34472.0,35288.1,33872.6,34675.3,3680.11,126856109.56,force_direct,,2021-06-28
1685,1624924800,35903.3,36643.2,34268.0,34472.0,4467.52,159514032.83,force_direct,,2021-06-29
1686,1625011200,35046.2,36090.7,34066.0,35903.3,5223.9,182061351.39,force_direct,,2021-06-30
1687,1625097600,33532.4,35070.4,32717.2,35046.2,4023.93,135028594.04,force_direct,,2021-07-01
1688,1625184000,33802.9,34000.0,32721.4,33532.4,2762.8,91965508.23,force_direct,,2021-07-02
1689,1625270400,34685.4,34930.0,33348.9,33802.9,2772.06,95273933.36,force_direct,,2021-07-03
1690,1625356800,35305.0,35948.9,34381.1,34685.4,1575.86,55738057.68,force_direct,,2021-07-04
1691,1625443200,33697.6,35305.1,33080.3,35305.0,3947.93,134429410.97,force_direct,,2021-07-05
1692,1625529600,34235.0,35113.4,33555.0,33697.6,2949.38,100646798.89,force_direct,,2021-07-06
1693,1625616000,33885.1,35065.4,33825.5,34235.0,3122.54,107767321.12,force_direct,,2021-07-07
1694,1625702400,32882.2,33946.8,32112.6,33885.1,5379.88,176853895.06,force_direct,,2021-07-08
1695,1625788800,33791.0,34088.0,32273.3,32882.2,2699.31,89550821.89,force_direct,,2021-07-09
1696,1625875200,33522.2,34252.8,32968.2,33791.0,2916.16,97983066.93,force_direct,,2021-07-10
